Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
2,208,20803005,MEDICO CIRUJANO,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20803005.html,Completado,6434,198,2.9,,Licenciatura 2026,100,6434,5688,115,205
2,208,20805005,MEDICO CIRUJANO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20805005.html,Completado,5063,70,1.7,,Licenciatura 2026,50,5063,4375,117,71
2,227,22705005,NUTRIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22705005.html,Completado,1735,69,0.78,,Licenciatura 2026,55,1735,1393,109,69
2,222,22206005,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22206005.html,Completado,1049,80,0.46,,Licenciatura 2026,65,1049,884,105,80
2,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20903005.html,Completado,320,39,0.31,,Licenciatura 2026,37,320,277,97,39
2,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20906005.html,Completado,69,40,0.22,,Licenciatura 2026,39,69,56,52,40
2,228,22810005,ORTESIS Y PROTESIS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22810005.html,Completado,131,29,0.3,,Licenciatura 2026,25,131,110,90,29
2,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21000195.html,Completado,4360,134,1.16,,Licenciatura 2026,80,4360,3604,112,141
2,210,21003005,PSICOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21003005.html,Completado,2458,162,0.92,,Licenciatura 2026,110,2458,2161,104,168
2,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21005005.html,Completado,2762,146,0.93,,Licenciatura 2026,150,2762,2437,105,152
